# "All scores of the run."
,value,score,CV,CV_col,model,target,mean,sem
42,1.0,Acc_group,test,CV_10,RFC,classifier_Selection,0.9375,0.04347552147751578
43,1.0,Acc_group,test,CV_11,RFC,classifier_Selection,0.9375,0.04347552147751578
44,1.0,Acc_group,test,CV_12,RFC,classifier_Selection,0.9375,0.04347552147751578
45,1.0,Acc_group,test,CV_13,RFC,classifier_Selection,0.9375,0.04347552147751578
46,1.0,Acc_group,test,CV_14,RFC,classifier_Selection,0.9375,0.04347552147751578
47,1.0,Acc_group,test,CV_15,RFC,classifier_Selection,0.9375,0.04347552147751578
48,1.0,Acc_group,test,CV_16,RFC,classifier_Selection,0.9375,0.04347552147751578
49,1.0,Acc_group,test,CV_17,RFC,classifier_Selection,0.9375,0.04347552147751578
50,1.0,Acc_group,test,CV_18,RFC,classifier_Selection,0.9375,0.04347552147751578
51,1.0,Acc_group,test,CV_19,RFC,classifier_Selection,0.9375,0.04347552147751578
52,1.0,Acc_group,test,CV_20,RFC,classifier_Selection,0.9375,0.04347552147751578
53,1.0,Acc_group,test,CV_21,RFC,classifier_Selection,0.9375,0.04347552147751578
54,1.0,Acc_group,test,CV_22,RFC,classifier_Selection,0.9375,0.04347552147751578
55,1.0,Acc_group,test,CV_23,RFC,classifier_Selection,0.9375,0.04347552147751578
56,1.0,Acc_group,test,CV_24,RFC,classifier_Selection,0.9375,0.04347552147751578
57,1.0,Acc_group,test,CV_25,RFC,classifier_Selection,0.9375,0.04347552147751578
58,1.0,Acc_group,test,CV_26,RFC,classifier_Selection,0.9375,0.04347552147751578
59,1.0,Acc_group,test,CV_27,RFC,classifier_Selection,0.9375,0.04347552147751578
60,1.0,Acc_group,test,CV_28,RFC,classifier_Selection,0.9375,0.04347552147751578
61,1.0,Acc_group,test,CV_29,RFC,classifier_Selection,0.9375,0.04347552147751578
62,1.0,Acc_group,test,CV_30,RFC,classifier_Selection,0.9375,0.04347552147751578
63,1.0,Acc_group,test,CV_31,RFC,classifier_Selection,0.9375,0.04347552147751578
0,1.0,Acc_group,train,CV_0,LogR,classifier_Selection,1.0,0.0
1,1.0,Acc_group,train,CV_1,LogR,classifier_Selection,1.0,0.0
2,1.0,Acc_group,train,CV_2,LogR,classifier_Selection,1.0,0.0
3,1.0,Acc_group,train,CV_3,LogR,classifier_Selection,1.0,0.0
4,1.0,Acc_group,train,CV_4,LogR,classifier_Selection,1.0,0.0
5,1.0,Acc_group,train,CV_5,LogR,classifier_Selection,1.0,0.0
6,1.0,Acc_group,train,CV_6,LogR,classifier_Selection,1.0,0.0
7,1.0,Acc_group,train,CV_7,LogR,classifier_Selection,1.0,0.0
8,1.0,Acc_group,train,CV_8,LogR,classifier_Selection,1.0,0.0
9,1.0,Acc_group,train,CV_9,LogR,classifier_Selection,1.0,0.0
10,1.0,Acc_group,train,CV_10,LogR,classifier_Selection,1.0,0.0
11,1.0,Acc_group,train,CV_11,LogR,classifier_Selection,1.0,0.0
12,1.0,Acc_group,train,CV_12,LogR,classifier_Selection,1.0,0.0
13,1.0,Acc_group,train,CV_13,LogR,classifier_Selection,1.0,0.0
14,1.0,Acc_group,train,CV_14,LogR,classifier_Selection,1.0,0.0
15,1.0,Acc_group,train,CV_15,LogR,classifier_Selection,1.0,0.0
16,1.0,Acc_group,train,CV_16,LogR,classifier_Selection,1.0,0.0
17,1.0,Acc_group,train,CV_17,LogR,classifier_Selection,1.0,0.0
18,1.0,Acc_group,train,CV_18,LogR,classifier_Selection,1.0,0.0
19,1.0,Acc_group,train,CV_19,LogR,classifier_Selection,1.0,0.0
20,1.0,Acc_group,train,CV_20,LogR,classifier_Selection,1.0,0.0
21,1.0,Acc_group,train,CV_21,LogR,classifier_Selection,1.0,0.0
22,1.0,Acc_group,train,CV_22,LogR,classifier_Selection,1.0,0.0
23,1.0,Acc_group,train,CV_23,LogR,classifier_Selection,1.0,0.0
24,1.0,Acc_group,train,CV_24,LogR,classifier_Selection,1.0,0.0
25,1.0,Acc_group,train,CV_25,LogR,classifier_Selection,1.0,0.0
26,1.0,Acc_group,train,CV_26,LogR,classifier_Selection,1.0,0.0
27,1.0,Acc_group,train,CV_27,LogR,classifier_Selection,1.0,0.0
28,1.0,Acc_group,train,CV_28,LogR,classifier_Selection,1.0,0.0
29,1.0,Acc_group,train,CV_29,LogR,classifier_Selection,1.0,0.0
30,1.0,Acc_group,train,CV_30,LogR,classifier_Selection,1.0,0.0
31,1.0,Acc_group,train,CV_31,LogR,classifier_Selection,1.0,0.0
32,1.0,Acc_group,test,CV_0,LogR,classifier_Selection,0.96875,0.031249999999999997
33,1.0,Acc_group,test,CV_1,LogR,classifier_Selection,0.96875,0.031249999999999997
34,1.0,Acc_group,test,CV_2,LogR,classifier_Selection,0.96875,0.031249999999999997
35,1.0,Acc_group,test,CV_3,LogR,classifier_Selection,0.96875,0.031249999999999997
36,0.0,Acc_group,test,CV_4,LogR,classifier_Selection,0.96875,0.031249999999999997
37,1.0,Acc_group,test,CV_5,LogR,classifier_Selection,0.96875,0.031249999999999997
38,1.0,Acc_group,test,CV_6,LogR,classifier_Selection,0.96875,0.031249999999999997
39,1.0,Acc_group,test,CV_7,LogR,classifier_Selection,0.96875,0.031249999999999997
40,1.0,Acc_group,test,CV_8,LogR,classifier_Selection,0.96875,0.031249999999999997
41,1.0,Acc_group,test,CV_9,LogR,classifier_Selection,0.96875,0.031249999999999997
42,1.0,Acc_group,test,CV_10,LogR,classifier_Selection,0.96875,0.031249999999999997
43,1.0,Acc_group,test,CV_11,LogR,classifier_Selection,0.96875,0.031249999999999997
44,1.0,Acc_group,test,CV_12,LogR,classifier_Selection,0.96875,0.031249999999999997
45,1.0,Acc_group,test,CV_13,LogR,classifier_Selection,0.96875,0.031249999999999997
46,1.0,Acc_group,test,CV_14,LogR,classifier_Selection,0.96875,0.031249999999999997
47,1.0,Acc_group,test,CV_15,LogR,classifier_Selection,0.96875,0.031249999999999997
48,1.0,Acc_group,test,CV_16,LogR,classifier_Selection,0.96875,0.031249999999999997
49,1.0,Acc_group,test,CV_17,LogR,classifier_Selection,0.96875,0.031249999999999997
50,1.0,Acc_group,test,CV_18,LogR,classifier_Selection,0.96875,0.031249999999999997
51,1.0,Acc_group,test,CV_19,LogR,classifier_Selection,0.96875,0.031249999999999997
52,1.0,Acc_group,test,CV_20,LogR,classifier_Selection,0.96875,0.031249999999999997
53,1.0,Acc_group,test,CV_21,LogR,classifier_Selection,0.96875,0.031249999999999997
54,1.0,Acc_group,test,CV_22,LogR,classifier_Selection,0.96875,0.031249999999999997
55,1.0,Acc_group,test,CV_23,LogR,classifier_Selection,0.96875,0.031249999999999997
56,1.0,Acc_group,test,CV_24,LogR,classifier_Selection,0.96875,0.031249999999999997
57,1.0,Acc_group,test,CV_25,LogR,classifier_Selection,0.96875,0.031249999999999997
58,1.0,Acc_group,test,CV_26,LogR,classifier_Selection,0.96875,0.031249999999999997
59,1.0,Acc_group,test,CV_27,LogR,classifier_Selection,0.96875,0.031249999999999997
60,1.0,Acc_group,test,CV_28,LogR,classifier_Selection,0.96875,0.031249999999999997
61,1.0,Acc_group,test,CV_29,LogR,classifier_Selection,0.96875,0.031249999999999997
62,1.0,Acc_group,test,CV_30,LogR,classifier_Selection,0.96875,0.031249999999999997
63,1.0,Acc_group,test,CV_31,LogR,classifier_Selection,0.96875,0.031249999999999997
0,1.0,Acc_group,train,CV_0,NNC,classifier_Selection,1.0,0.0
1,1.0,Acc_group,train,CV_1,NNC,classifier_Selection,1.0,0.0
2,1.0,Acc_group,train,CV_2,NNC,classifier_Selection,1.0,0.0
3,1.0,Acc_group,train,CV_3,NNC,classifier_Selection,1.0,0.0
4,1.0,Acc_group,train,CV_4,NNC,classifier_Selection,1.0,0.0
5,1.0,Acc_group,train,CV_5,NNC,classifier_Selection,1.0,0.0
6,1.0,Acc_group,train,CV_6,NNC,classifier_Selection,1.0,0.0
7,1.0,Acc_group,train,CV_7,NNC,classifier_Selection,1.0,0.0
8,1.0,Acc_group,train,CV_8,NNC,classifier_Selection,1.0,0.0
9,1.0,Acc_group,train,CV_9,NNC,classifier_Selection,1.0,0.0
10,1.0,Acc_group,train,CV_10,NNC,classifier_Selection,1.0,0.0
11,1.0,Acc_group,train,CV_11,NNC,classifier_Selection,1.0,0.0
12,1.0,Acc_group,train,CV_12,NNC,classifier_Selection,1.0,0.0
13,1.0,Acc_group,train,CV_13,NNC,classifier_Selection,1.0,0.0
14,1.0,Acc_group,train,CV_14,NNC,classifier_Selection,1.0,0.0
15,1.0,Acc_group,train,CV_15,NNC,classifier_Selection,1.0,0.0
16,1.0,Acc_group,train,CV_16,NNC,classifier_Selection,1.0,0.0
17,1.0,Acc_group,train,CV_17,NNC,classifier_Selection,1.0,0.0
18,1.0,Acc_group,train,CV_18,NNC,classifier_Selection,1.0,0.0
19,1.0,Acc_group,train,CV_19,NNC,classifier_Selection,1.0,0.0
20,1.0,Acc_group,train,CV_20,NNC,classifier_Selection,1.0,0.0
21,1.0,Acc_group,train,CV_21,NNC,classifier_Selection,1.0,0.0
22,1.0,Acc_group,train,CV_22,NNC,classifier_Selection,1.0,0.0
23,1.0,Acc_group,train,CV_23,NNC,classifier_Selection,1.0,0.0
24,1.0,Acc_group,train,CV_24,NNC,classifier_Selection,1.0,0.0
25,1.0,Acc_group,train,CV_25,NNC,classifier_Selection,1.0,0.0
26,1.0,Acc_group,train,CV_26,NNC,classifier_Selection,1.0,0.0
27,1.0,Acc_group,train,CV_27,NNC,classifier_Selection,1.0,0.0
28,1.0,Acc_group,train,CV_28,NNC,classifier_Selection,1.0,0.0
29,1.0,Acc_group,train,CV_29,NNC,classifier_Selection,1.0,0.0
